 ,movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
0,tt7286456,1,1270536,Joker,Joker,2019,8.4,movie,0,122,"Crime, Drama, Thriller            "
1,tt4154796,2,1121033,Avengers: Endgame,Avengers: Endgame,2019,8.4,movie,0,181,"Action, Adventure, Drama            "
2,tt4154756,3,1072978,Avengers: Infinity War,Avengers: Infinity War,2018,8.4,movie,0,149,"Action, Adventure, Sci-Fi            "
3,tt6751668,4,794032,Parasite,Gisaengchung,2019,8.5,movie,0,132,"Drama, Thriller            "
4,tt1825683,5,766487,Black Panther,Black Panther,2018,7.3,movie,0,134,"Action, Adventure, Sci-Fi            "
5,tt7131622,6,731535,Once Upon a Time in Hollywood,Once Upon a Time... in Hollywood,2019,7.6,movie,0,161,"Comedy, Drama            "
6,tt8946378,7,624825,Knives Out,Knives Out,2019,7.9,movie,0,130,"Comedy, Crime, Drama            "
8,tt8579674,8,585087,1917,1917,2019,8.2,movie,0,119,"Action, Drama, War            "
7,tt5463162,9,580922,Deadpool 2,Deadpool 2,2018,7.7,movie,0,119,"Action, Adventure, Comedy            "
9,tt4154664,10,559138,Captain Marvel,Captain Marvel,2019,6.8,movie,0,123,"Action, Adventure, Sci-Fi            "
10,tt1727824,11,537769,Bohemian Rhapsody,Bohemian Rhapsody,2018,7.9,movie,0,134,"Biography, Drama, Music            "
11,tt6644200,12,527920,A Quiet Place,A Quiet Place,2018,7.5,movie,0,90,"Drama, Horror, Sci-Fi            "
12,tt4633694,13,524721,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,8.4,movie,0,117,"Animation, Action, Adventure            "
13,tt6723592,14,500931,Tenet,Tenet,2020,7.3,movie,0,150,"Action, Sci-Fi, Thriller            "
16,tt6320628,15,490591,Spider-Man: Far from Home,Spider-Man: Far from Home,2019,7.4,movie,0,129,"Action, Adventure, Sci-Fi            "
15,tt6966692,16,489113,Green Book,Green Book,2018,8.2,movie,0,130,"Biography, Comedy, Drama            "
14,tt1270797,17,484650,Venom,Venom,2018,6.6,movie,0,112,"Action, Adventure, Sci-Fi            "
17,tt1477834,18,473941,Aquaman,Aquaman,2018,6.8,movie,0,143,"Action, Adventure, Fantasy            "
18,tt2527338,19,450189,Star Wars: The Rise Of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,2019,6.5,movie,0,141,"Action, Adventure, Fantasy            "
19,tt1677720,20,436121,Ready Player One,Ready Player One,2018,7.4,movie,0,140,"Action, Adventure, Sci-Fi            "
20,tt5095030,21,401786,Ant-Man and the Wasp,Ant-Man and the Wasp,2018,7,movie,0,118,"Action, Adventure, Comedy            "
24,tt1950186,22,391832,Ford v Ferrari,Ford v Ferrari,2019,8.1,movie,0,152,"Action, Biography, Drama            "
23,tt2584384,23,388073,Jojo Rabbit,Jojo Rabbit,2019,7.9,movie,0,108,"Comedy, Drama, War            "
22,tt1302006,24,387321,The Irishman,The Irishman,2019,7.8,movie,0,209,"Biography, Crime, Drama            "
21,tt1517451,25,384065,A Star Is Born,A Star Is Born,2018,7.6,movie,0,136,"Drama, Music, Romance            "
25,tt3778644,26,347250,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,6.9,movie,0,135,"Action, Adventure, Sci-Fi            "
26,tt6146586,27,343594,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,2019,7.4,movie,0,130,"Action, Crime, Thriller            "
27,tt2737304,28,342137,Bird Box,Bird Box,2018,6.6,movie,0,124,"Horror, Mystery, Sci-Fi            "
31,tt8367814,29,338168,The Gentlemen,The Gentlemen,2019,7.8,movie,0,113,"Action, Comedy, Crime            "
29,tt0448115,30,337911,Shazam!,Shazam!,2019,7,movie,0,132,"Action, Adventure, Comedy            "
28,tt4912910,31,333091,Mission: Impossible - Fallout,Mission: Impossible - Fallout,2018,7.7,movie,0,147,"Action, Adventure, Thriller            "
32,tt2948372,32,328414,Soul,Soul,2020,8,movie,0,100,"Animation, Adventure, Comedy            "
30,tt2798920,33,327146,Annihilation,Annihilation,2018,6.8,movie,0,115,"Adventure, Drama, Horror            "
37,tt8772262,34,321473,Midsommar,Midsommar,2019,7.1,movie,0,148,"Drama, Horror, Mystery            "
33,tt4881806,35,317151,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,6.1,movie,0,128,"Action, Adventure, Sci-Fi            "
35,tt7784604,36,316026,Hereditary,Hereditary,2018,7.3,movie,0,127,"Drama, Horror, Mystery            "
34,tt7653254,37,308953,Marriage Story,Marriage Story,2019,7.9,movie,0,137,"Drama, Romance            "
38,tt6857112,38,299309,Us,Us,2019,6.8,movie,0,116,"Horror, Mystery, Thriller            "
36,tt3606756,39,297366,Incredibles 2,Incredibles 2,2018,7.6,movie,0,118,"Animation, Action, Adventure            "
42,tt4123430,40,283536,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,movie,0,134,"Adventure, Family, Fantasy            "
39,tt5727208,41,281940,Uncut Gems,Uncut Gems,2019,7.4,movie,0,135,"Crime, Drama, Thriller            "
40,tt0437086,42,268418,Alita: Battle Angel,Alita: Battle Angel,2019,7.3,movie,0,122,"Action, Adventure, Sci-Fi            "
44,tt7126948,43,267197,Wonder Woman 1984,Wonder Woman 1984,2020,5.4,movie,0,151,"Action, Adventure, Fantasy            "
45,tt7349950,44,266229,It Chapter Two,It Chapter Two,2019,6.5,movie,0,169,"Drama, Fantasy, Horror            "
